I, [2016-02-22T03:00:06.650400 #17984]  INFO -- : Refreshing Gem list
WARNING: Use strings for Figaro configuration. 84129162753 was converted to "84129162753".
I, [2016-02-22T03:00:09.648670 #17984]  INFO -- : listening on addr=/home/helocoop-server/shared/sockets/unicorn.sock fd=11
I, [2016-02-22T03:00:09.648875 #17984]  INFO -- : worker=0 spawning...
I, [2016-02-22T03:00:09.651992 #17984]  INFO -- : worker=1 spawning...
I, [2016-02-22T03:00:09.653355 #17984]  INFO -- : master process ready
I, [2016-02-22T03:00:09.660287 #17988]  INFO -- : worker=0 spawned pid=17988
I, [2016-02-22T03:00:09.660514 #17988]  INFO -- : worker=0 ready
I, [2016-02-22T03:00:09.661499 #17990]  INFO -- : worker=1 spawned pid=17990
I, [2016-02-22T03:00:09.661700 #17990]  INFO -- : worker=1 ready
14.167.69.194 - - [22/Feb/2016:03:00:59 +0000] "GET /unauthenticated HTTP/1.0" 302 - 5.2145
14.167.69.194 - - [22/Feb/2016:03:00:59 +0000] "GET /unauthenticated HTTP/1.0" 302 - 5.1990
14.167.69.194 - - [22/Feb/2016:03:01:00 +0000] "GET /authentications/sign_in HTTP/1.0" 200 - 0.6718
14.167.69.194 - - [22/Feb/2016:03:01:01 +0000] "GET /bicycle-polo.self-0249120a655080d9b108f6649f4f0aa735d2eca9befc58481030c5c86913cff1.css?body=1 HTTP/1.0" 200 465 0.0376
14.167.69.194 - - [22/Feb/2016:03:01:01 +0000] "GET /authentication.self-e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855.css?body=1 HTTP/1.0" 200 - 0.0165
14.167.69.194 - - [22/Feb/2016:03:01:01 +0000] "GET /phoneconference.self-b60acab5af8d245ed2b3012f77d11d8d207d8eada27756badaf4ef05770d60f6.css?body=1 HTTP/1.0" 200 129 0.0153
14.167.69.194 - - [22/Feb/2016:03:01:01 +0000] "GET /users.self-b60acab5af8d245ed2b3012f77d11d8d207d8eada27756badaf4ef05770d60f6.css?body=1 HTTP/1.0" 200 129 0.0178
14.167.69.194 - - [22/Feb/2016:03:01:01 +0000] "GET /application.self-e80e8f2318043e8af94dddc2adad5a4f09739a8ebb323b3ab31cd71d45fd9113.css?body=1 HTTP/1.0" 200 653 0.0173
14.167.69.194 - - [22/Feb/2016:03:01:01 +0000] "GET /jquery.self-a714331225dda820228db323939889f149aec0127aeb06255646b616ba1ca419.js?body=1 HTTP/1.0" 200 284395 0.0321
14.167.69.194 - - [22/Feb/2016:03:01:01 +0000] "GET /jquery_ujs.self-d456baa54c1fa6be2ec3711f0a72ddf7a5b2f34a6b4f515f33767d6207b7d4b3.js?body=1 HTTP/1.0" 200 19542 0.0177
14.167.69.194 - - [22/Feb/2016:03:01:01 +0000] "GET /active_admin.self-75e4e19ca57534a457626cbed37c172c3f68f78f63ea1ed5fa81651e1f51a682.css?body=1 HTTP/1.0" 200 109195 0.4002
14.167.69.194 - - [22/Feb/2016:03:01:01 +0000] "GET /turbolinks.self-c37727e9bd6b2735da5c311aa83fead54ed0be6cc8bd9a65309e9c5abe2cbfff.js?body=1 HTTP/1.0" 200 24817 0.0119
14.167.69.194 - - [22/Feb/2016:03:01:01 +0000] "GET /jquery-ui/core.self-93be4d22eda916787802a64d8f88b52db8a9027d4ccbbc0942625324a7d12d44.js?body=1 HTTP/1.0" 200 7663 0.0126
14.167.69.194 - - [22/Feb/2016:03:01:01 +0000] "GET /jquery-ui/datepicker.self-6267be6d4d0f0e8665be3b4d6ac07f40ba23a32aff8eaa5d1bfc00f76a9eeae7.js?body=1 HTTP/1.0" 200 77976 0.0143
14.167.69.194 - - [22/Feb/2016:03:01:02 +0000] "GET /jquery-ui/widget.self-c1602241ddc51216b58391768667068867b8e15b9efc722befcd25771eda6819.js?body=1 HTTP/1.0" 200 15815 0.0292
14.167.69.194 - - [22/Feb/2016:03:01:02 +0000] "GET /jquery-ui/button.self-4d4f21ba77bbf8cc08ae65e2b6329a7a1b952b32c3ba7bffca8313e7e8c93d0c.js?body=1 HTTP/1.0" 200 11331 0.0520
